RegName,MaxUkrBal100
Донецька область,200.0
Чернігівська область,200.0
Волинська область,200.0
Чернівецька область,200.0
Запорізька область,200.0
Вінницька область,200.0
Львівська область,200.0
Харківська область,200.0
Івано-Франківська область,200.0
Дніпропетровська область,200.0
Тернопільська область,200.0
Полтавська область,200.0
Закарпатська область,199.5
Кіровоградська область,199.5
Одеська область,199.5
м.Київ,199.5
Житомирська область,199.5
Сумська область,199.5
Миколаївська область,199.5
Рівненська область,199.5
Київська область,199.5
Черкаська область,199.5
Хмельницька область,199.5
Луганська область,199.0
Херсонська область,199.0
